TITLE: Bill of Materials
BOM NO: 05-037760-01-f2.csv
DATE: 04/17/2019
DESIGN: 02_037760f_top
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom
CALLOUT: 

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
1,1,08_037760f,PCB,?,?,?,?,?,?,Analog Devices Supplied,08_037760f,N/A,?,?,?,?,?,?,?
2,2,E005069,IC 5 OHM LOW VOLT SINGLE SPDT SWITCH," ADG719BRTZ",SOT23_6,N/A,N/A,?,"A2,B2",ANALOG DEVICES," ADG719BRTZ-REEL7",REL,N/A,40901JH229,N/A,N/A,1003415,?,?
3,3,E019683,"IC-ADI DUAL PRECISION, CMOS RRIO OPAMP"," ADA4661-2ARMZ",MSOP8,N/A,N/A,?,"A3,B3,U8",ADI," ADA4661-2ARMZ",REL,N/A,N/A,N/A,N/A,1002957,?,?
4,2,E020278,IC-ADI 5V RAIL TO RAIL HIGH OUTPUT CURRENT xDSL LINE DRIVE AMP," AD8018ARZ",SO8,N/A,N/A,?,"A4,B4",ADI," AD8018ARZ",REL,N/A,N/A,N/A,N/A,N/A,?,?
5,12,E019080,"CAP CER MULTILAYER X5R, FOR SM-TH COMBO FOOTPRINT USE ALT_SYMBOLS"," 10uF",C0805,10,25V,N/A,"C1,C3,C18,C47,C64,C72,C73,C76,C78,C80,C82,CIN1",TDK," C2012X5R1E106K085AC",REL,N/A,N/A,N/A,N/A,7002497,?,?
6,13,E026591,CAP CER X7R," 1UF",C0603,10,25V,N/A,"C10,C17,C22,C23,C30,C59,C62,C68,C91,C93,CC,CVCC,CVCC2",WURTH ELEKTRONIK," 885012206076",REL,N/A,N/A,N/A,N/A,N/A,?,?
7,3,E007982,CAP CER MULTILAYER NP0 0402," 10pF",C0402,5,50V,N/A,"C5,C20,C101",YAGEO," CC0402JRNP09BN100",REL,A004-0011-015,N/A,N/A,146_BIN2-6A,7002459,?,?
9,2,E020112,CAP CER X5R," 4.7uF",C0603,10,16V,N/A,"C104,C106",TDK," C1608X5R1C475K080AC",REL,N/A,N/A,N/A,N/A,N/A,?,?
10,4,E019646,CAP CER X5R," 0.01uF",C0402,10,25V,N/A,"C31,C105,C109,C112",AVX," 04023D103KAT2A",REL,N/A,N/A,N/A,N/A,7001960,?,?
11,2,E015288,"CAP CER X7R, GENERAL PURPOSE"," 2.2uF",C0603,10,10V,N/A,"C107,C108",MURATA," GRM188R71A225KE15D",REL,N/A,N/A,N/A,N/A,N/A,?,?
12,47,E027519,"CAP CER X7R, BROADBAND"," 0.1UF",C0402,10,16V,N/A,"C2,C4,C8,C9,C11,C13,C14,C19,C21,C24,C25,C32,C33,C34,C35,C36,C37,C38,C40,C41,C44,C46,C48,C49,C50,C51,C52,C53,C54,C55,C56,C58,C61,C63,C65,C66,C69,C70,C71,C74,C75,C77,C79,C81,C90,C92,C99",AMERICAN TECHNICAL CERAMICS," 530L104KT16T",REL,N/A,N/A,N/A,N/A,N/A,?,?
13,1,E000419,CAP CER X7R," 0.082UF",C0603,10,16V,N/A,C110,PHYCOMP (YAGEO)," 2238 786 15648",REL,ADD_TO_STOCK_#32,N/A,3019550,N/A,7002076,?,?
14,3,E010382,"CAP CER X5R, GENERAL PURPOSE"," 4.7uF",C0603,10,6.3V,N/A,"C12,C15,COUT1",MURATA," GRM188R60J475KE19",NON-PREF,N/A,N/A,N/A,1391_CAB3,7003191,?,?
15,4,E019413,CAP CER X7R," 0.01uF",C0402,10,50V,N/A,"C26,C42,C94,C95",MURATA," GCM155R71H103KA55D",REL,N/A,N/A,N/A,N/A,N/A,?,?
16,2,E012693,CAP CER X7R 0603," 0.0056uF",C0603,5,50V,N/A,"C27,C28",AVX," 06035C562JAT2A",REL,N/A,N/A,N/A,N/A,7003363,?,?
17,2,E011546,"CAP CER X7R, GENERAL PURPOSE"," 47uF",C1210-2,10,10V,N/A,"C29,C45",MURATA," GRM32ER71A476KE15L",REL,N/A,N/A,N/A,N/A,N/A,?,?
18,2,E007908,"CAP CER C0G(NP0), GENERAL PURPOSE"," 0.001uF",C0603,5,50V,N/A,"C39,C43",MURATA," GRM1885C1H102JA01D",REL,N/A,N/A,N/A,N/A,N/A,?,?
19,2,E033360,CAP CER C0G," 12PF",C0402,5,50V,N/A,"C6,C7",MURATA," GJM1555C1H120JB01D",REL,N/A,N/A,N/A,N/A,N/A,?,?
21,2,E025706,"CAP MULTILAYER CER CHIP, HIGH RELIABILITY, X7R"," 1000PF",C0402,10,25V,N/A,"C96,C97",TDK," CGJ2B2X7R1E102K050BA",REL,N/A,N/A,N/A,N/A,N/A,?,?
22,1,E012401,"CAP CER C0G(NP0), GENERAL PURPOSE"," 0.01uF",C0805,5,50V,N/A,CBST,MURATA," GRM2195C1H103JA01D",REL,A004-0008-076,N/A,N/A,N/A,7001989,?,?
23,1,E026401,"CAP CER C0G(NP0), GENERAL PURPOSE"," 2700PF",C0603,5,50V,N/A,CC1,MURATA," GRM1885C1H272JA01D",REL,N/A,N/A,N/A,N/A,7000875,?,?
24,1,E000265,CAP CER," 22PF",C0402,5,50V,N/A,CC2,PHYCOMP (YAGEO)," 0402CG220J9B200",REL,A004-0011-016,40302JH302,N/A,N/A,7002906,?,?
25,1,E014885,CAP TANT SMD," 47UF",C3528,10,10V,N/A,COUT2,AVX," TAJB476K010R",REL,N/A,N/A,N/A,N/A,7003276,?,?
27,1,E006709,DIODE SCHOTTKY," B160B-13-F",DIO214AA,N/A,60V,N/A,D1,DIODES INCORPORATED," B160B-13-F",REL,A002-0002-060,N/A,N/A,N/A,7003741,?,?
28,6,E016644,DIODE SCHOTTKY BARRIER ARRAYS," BAT54SDW-7-F",SOT363H43,N/A,30V,N/A,"D2,D5,D6,D7,D10,D11",DIODES INCORPORATED," BAT54SDW-7-F",REL,N/A,N/A,N/A,N/A,7003770,?,?
29,2,E021289,DIODE SCHOTTKY BARRIER RECTIFIER," PD3S130L-7",POWERDI323,N/A,30V,N/A,"D3,D4",DIODES INCORPORATED," PD3S130L-7",REL,N/A,N/A,N/A,N/A,N/A,?,?
